Gold Question	Modified Question	Answerability Score User 1	Answerability Score User 2
Is corporal punishment increasing or declining in the South?	Is punishment increasing or declining in the South?	5	5
In what year did Nikola Tesla emigrate to the United States?	In year did Nikola Tesla emigrate to the United States?	4	5
Why was AC electricity gaining popularity?	Why AC electricity gaining popularity?	5	5
Where was Austrian Polytechnic located?	Where Austrian Polytechnic located?	5	5
In how many countries did Tesla hold patents?	In many countries did Tesla hold patents?	4	4
What is the atmosphere in a school using popularly based authority?	What atmosphere school using popularly based authority?	2	2
Beginning in what year was Harvard on top of the World Reputation Rankings?	Beginning in Which was Harvard on top of the World Reputation Rankings?	4	4
Against what does reactive oxygen play in plant defense?	Against what reactive oxygen play plant defense?	3	3
Among whom was Genghis Khan's empire split after his death?	Among was Genghis Khan's empire split after his death?	4	4
An Account of Further Discoveries in Air was published by who in 1775?	An Account of Further Discoveries in Air was published by Whom in 1775?	5	5
An important shaman was alleged to be trying to distance Genghis Khan from which of his brothers?	An important shaman was alleged to be trying to distance from which of his brothers?	2	2
Approximately how many items are in the costume collection of the V&A?	Approximately how many items costume collection V&A?	4	4
Aside from being located on the coast, what contributes to Jacksonville's lack of cold weather?	Aside from being located on the coast, what contributes to Jacksonville's lack of weather?	5	5
At what time did Tesla get dinner?	At time did Tesla get dinner?	4	4
At what temperature will oxygen condense?	At what temperature oxygen condense?	5	5
Besides fats, fatty acids, and amino acids,what other organic compounds contain oxygen?	Besides fatty acids, and amino acids,what other organic compounds contain oxygen?	5	5
Besides Leibniz, what other mathematician proved the validity of Fermat's little theorem?	Besides what other mathematician proved the validity of Fermat's little theorem?	2	2
Boycotting, refusing to pay taxes, sit ins, and draft dodging all make what harder?	Boycotting, refusing pay taxes, sit ins, draft dodging make what harder?	4	4
By 1897, how much had Tesla, Brown, and Peck received in royalties and licenses over the patents?	By 1897, how much had Tesla, Brown, and received in royalties and licenses over the patents?	3	3
By the opening of the 2008 General Conference, what was the total UMC membership overseas?	By opening 2008 General Conference, what total UMC membership overseas?	3	3
By what process is singlet oxygen made in the tropophere?	By process is singlet oxygen made in the tropophere?	4	4
By what means were scientists able to liquefy air?	By what means scientists able liquefy air?	5	5
Capital City and ABC sold the WXYZ-TV and WFTS-TV stations to what company?	Capital City and ABC sold the WXYZ-TV and WFTS-TV to what company?	4	4
Colonialism often means a country doing what?	Colonialism a country doing what?	1	1
Combustion is caused by an oxidant and a fuel. What role does oxygen play in combustion?	Combustion is caused by an oxidant and a fuel. role does oxygen play in combustion?	4	4
Compared to other elements, how abundant does oxygen rank?	Compared elements, how abundant oxygen rank?	4	4
During what type of climate is oxygen 18 in seawater at higher levels?	During type of climate is oxygen 18 in seawater at higher levels?	4	4
For how long did Tesla receive this compensation?	For how long did receive this compensation?	4	4
For what invention was U.S. Patent 1,655,114 granted?	For what invention was 1,655,114 granted?	3	3
For what purpose is oxygen used by animal life?	For what purpose oxygen used animal life?	4	4
Fossils found that were believed to be ctenophores were how old?	Fossils found believed ctenophores how old?	3	3
From where would scientists like measure vegetation radiance?	From Which would scientists like measure vegetation radiance?	4	4
From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 90% to what?	From to 2005 Harvard reduced the number of students earning Latin honors From 90% to what?	3	3
Harvard - Yale Regatta predates "The Game" by how many years?	Harvard Yale Regatta predates "The Game" by how many years?	5	5
How were British able to cut supplies to Louisbourg?	How British able cut supplies Louisbourg?	3	3
How is the O2 molecule referred to in its ground state?	How O2 molecule referred ground state?	3	3
How was Temüjin kept imprisoned by the Tayichi'ud?	How Temüjin kept imprisoned Tayichi'ud?	3	3
How was Tesla's mechanical oscillator powered?	How Tesla's mechanical oscillator powered?	5	5
How long are students required to learn Welsh?	How are required to Welsh?	1	1
How much did Tesla say Edison offered him to redesign his motor and generators?	How did Tesla say Edison offered him to redesign his motor and generators?	4	4
How do Mongolians sometime describe their relationship to Genghis Khan?	How do Mongolians sometime describe their relationship to	3	3
How far from state house in downtown Boston is Harvard Yard?	How far state house downtown Boston Harvard Yard?	4	4
How many graduate students does Harvard have?	How graduate students does Harvard have?	4	4
How many languages did Tesla know?	How languages did Tesla know?	3	3
How long are students required to learn Welsh?	How long are students required to learn	3	3
How long was he in bed from cholera?	How long bed cholera?	3	3
How many days does the Council have to override the mayor's veto?	How many days Council override mayor's veto?	3	3
How many men did Duquesne send to relieve  Saint-Pierre ?	How many did Duquesne send to relieve Saint-Pierre ?	3	3
How many metropolitan areas does Southern California's population encompass?	How many does Southern California's encompass?	2	2
How many screens does the Empire muliplex cinema have?	How many does the Empire muliplex cinema	1	1
How many followers does The Presbyterian Church of East Africa have?	How many followers The Presbyterian Church East Africa have?	4	4
How many horsepower did Tesla's bladeless turbine have?	How many horsepower did bladeless turbine have?	5	5
How many people attended the 2003 IPCC meeting?	How many people attended the 2003 meeting?	3	3
How many soldiers did Genghis Khan take with him to Khwarezmia?	How many soldiers did Genghis Khan take with him to	3	3
How many tonnes of tomatoes does Victoria produce?	How many tonnes of does Victoria	1	1
How many total volumes are in the Harvard library system?	How many total volumes are in the library system?	4	4
How much did the Milton Friedman Institute roughly cost?	How much Milton Friedman Institute roughly cost?	4	4
How much does a Probationer earn, initially?	How much Probationer earn, initially?	4	4
How much did Tesla weigh?	How much Tesla weigh?	4	4
How much did Edison offer Tesla to redesign a motor and generators?	How much did Edison offer to redesign a motor and generators?	4	4
How much does a Probationer earn, after 6 years of service?	How much does a earn, after 6 years of service?	3	3
How many plant species make up the total in the rainforest?	How plant species make up the in the rainforest?	2	2
If NP is not equal to P, viewed through this lens, what type of problems can also be considered intractable?	If NP equal P, viewed lens, what type problems also considered intractable?	3	3
If a detention requires a pupil to just sit there, how are they required to sit?	If a detention requires a pupil to just sit there, Which are they required to sit?	3	3
If the teacher focuses on maintaining order, what does this take time away from?	If the teacher focuses on maintaining order, Whose this take time away from?	3	3
Imperialism extends a country's power and what?	Imperialism extends country's power what?	2	2
In June 1884, where did Tesla relocate?	In June 1884, where Tesla relocate?	5	5
In Latin America what is the most revered skin color?	In Latin America what revered skin color?	3	3
In what year was the first known experiments on combustion and air conducted?	In Which was the first known experiments on combustion and air conducted?	4	4
In which year did Genghis Khan strike against the Tanguts?	In Who did Genghis Khan strike against the Tanguts?	3	3
In which year did Benjamin Lamme achieve success making the motor more efficient?	In Whom did Benjamin Lamme achieve success making the motor more efficient?	3	3
In what year did Tesla's father die?	In Whom did Tesla's father die?	3	3
In what city is the Nikola Tesla Museum?	In Why is the Nikola Tesla Museum?	3	3
In early Pleistocene, what direction did the Rhine flow?	In early Pleistocene, direction did the Rhine flow?	4	4
In what sort of places are dry cooling towers used?	In sort of places are dry cooling towers	3	3
In what year was the Apollo program announced?	In what year Apollo program announced?	4	4
In what year did Harvard win an Intercolleiate Sailing Association National Championship?	In what year Harvard win Intercolleiate Sailing Association National Championship?	4	4
In what year was Henry Ware elected to chair?	In what year Henry Ware elected chair?	4	4
In what year did Tesla receive a Nobel Prize bid?	In what year Tesla receive Nobel Prize bid?	4	4
In what year was the school formed?	In what year school formed?	5	5
In which galleries are the French paintings donated by Jones displayed?	In which galleries French paintings donated Jones displayed?	4	4
In which year did the Royal College of Art gained full independence from the V&A?	In which year did the Royal College of Art gained from the V&A?	3	3
In which year was Möllendorff Dinner Service designed?	In which year was designed?	1	1
In what year did Joseph Priestley recognize oxygen?	In year did Joseph Priestley recognize oxygen?	5	5
In what year was Nikola Tesla born?	In year was Nikola Tesla born?	4	4
In what year was a set of significant rule changes introduced including the forward pass?	In year was a set of significant rule changes introduced including the forward pass?	5	5
Jellyfish ans sea anemones belong to what phylum?	Jellyfish ans sea anemones belong what phylum?	4	4
Jochi's death occurred in what year?	Jochi's death occurred in Why	3	3
Later chronicles of Genghis Khan's death implicate a princess from what empire in his death?	Later chronicles of Genghis Khan's death implicate a princess from Why in his death?	3	3
Name a text that might be used by a religious teacher to teach.	Name a text that might be used by a religious teacher to teach.?	5	5
Name one country that banned boating, driving and flying on Sundays.	Name one country banned boating, driving flying Sundays.	4	4
On what scale would scientists show measurements of vegetation?	On scale would scientists show measurements of vegetation?	4	4
On what date did Henry Kissinger negotiate an Israeli troop withdrawal from the Sinai Peninsula?	On what date did negotiate an troop withdrawal from the	2	2
On what street was the Theatre Royal's replacement built?	On what street Theatre Royal's replacement built?	4	4
Other than New York where did Tesla conduct experiments?	Other New York where Tesla conduct experiments?	3	3
Other than T cells, what other immune cells express CYP27B1?	Other T cells, what immune cells express CYP27B1?	3	3
Other than many sunny days, what characteristic is typical for the climate in souther California?	Other many sunny days, what characteristic typical climate souther California?	2	2
Other than a peace-ray, what did reporters call the weapon?	Other peace-ray, what reporters call weapon?	4	4
Other than his scientific achievements what was Tesla famous for?	Other than his scientific achievements Which Tesla famous for?	4	4
Starting in what year has Harvard topped the Academic Rankings of World Universities?	Starting in what year has Harvard topped the of World Universities?	5	5
Students build stronger relationships with what type of teachers?	Students build stronger relationships what type teachers?	4	4
The church states that, as Christians, they are aware that neither the way of what is righteous before God?"	The church states that, Christians, aware neither way what righteous God?"	1	1
The UMC established and is affiliated with approximately how many colleges and universities in the U.S.?	The established and is affiliated with approximately how many colleges and universities in The	2	2
The material in the V&A theatre collection is available for which use?	The material V&A theatre collection available which use?	1	1
The atomic number of the periodic table for oxygen?	The number of The periodic table for oxygen?	4	4
The time required to output an answer on a deterministic Turing machine is expressed as what?	The time required output answer deterministic Turing machine expressed what?	3	3
There was a 16th century Huguenot settlement near what modern day Florida city?	There 16th century Huguenot settlement near what modern day Florida city?	4	4
To what place did he bring the injured pigeons to take care of them?	To Where did he bring the injured pigeons To take care of them?	5	5
To what century did the idea of ether belong?	To century did the idea of ether belong?	4	4
To monitor what event would measuring radiance from vegetation provide information?	To monitor what event would measuring radiance vegetation provide information?	5	5
To what did Tesla attribute the unknown signals his radio received?	To what Tesla attribute unknown signals radio received?	3	3
To what pathogen that causes gas gangrene is oxygen poisonous?	To what pathogen causes gas gangrene oxygen poisonous?	4	4
To what type of organisms is oxygen toxic?	To what type organisms oxygen toxic?	4	4
Upon what chemical characteristic is oxygen's solubility dependent?	Upon What characteristic is oxygen's solubility dependent?	5	5
Was the school officially associated with any denomination?	Was school officially associated denomination?	3	3
What Chinese dynasty did the Mongols found?	What Chinese dynasty Mongols found?	4	4
What did NSFNET promote	What NSFNET promote	3	3
What Star Trek episode has a nod to Doctor Who?	What Star Trek has a to Doctor Who?	2	2
What was Temüjin' sister's name?	What Temüjin' sister's name?	4	4
What did Tesla do in Tomingaj?	What Tesla Tomingaj?	2	2
What did Tesla establish following his Colorado experiments?	What Tesla establish following Colorado experiments?	4	4
What was Tesla likely to do with his work?	What Tesla likely work?	3	3
What did Tesla mistakenly believe X-rays were?	What Tesla mistakenly believe X-rays were?	5	5
What did Tesla work on in 1888?	What Tesla work 1888?	4	4
What did Tesla write?	What Tesla write?	4	4
What was Tesla's belief as to the selling price of the biplane?	What Tesla's belief selling price biplane?	4	4
What did Tesla's device work from the output of?	What Tesla's device work output of?	2	2
What was Tesla's monthly consultant salary?	What Tesla's monthly consultant salary?	4	4
What were Tesla's mother's special abilities?	What Tesla's mother's special abilities?	5	5
What was Tesla's plan to make students "bright"?	What Tesla's plan make students "bright"?	4	4
What UN secretary went to Harvard?	What UN secretary went Harvard?	5	5
What is the United States busiest commercial port?	What United States busiest commercial port?	4	4
What would a Preschool teacher make, salary-wise?	What a Preschool teacher make, salary-wise?	5	5
Who actually won the prize?	What actually won the prize?	4	4
What animals did Tesla care for?	What animals Tesla care for?	5	5
What is another name for teaching within the family?	What another name teaching within family?	4	4
What are Harvard's Pell grant reserves?	What are grant reserves?	4	4
What responsibilities are pharmacists believed to be taking on more in the future?	What are pharmacists believed to be taking on more in the future?	3	3
What are the Catechisms of Martin Luther written in?	What are the Catechisms of Martin Luther in?	4	4
What are the eight sermons called that Luther preached in March 1522?	What are the eight called that Luther in March 1522?	2	2
What organization arranged to founding of school?	What arranged to founding of school?	4	4
What ground based group did Tesla think the weapon could be used on?	What based group did Tesla think the weapon could be used on?	4	4
What was his belief as to what nature was supposed to be?	What belief What nature supposed be?	3	3
What century did the Normans first gain their separate identity?	What century Normans first gain separate identity?	4	4
What magnetic character do triplet O2 have?	What character do triplet O2 have?	4	4
What characteristic of oxygen causes it to form bonds with other elements?	What characteristic of causes it to form bonds with other elements?	3	3
What characteristic of oxygen makes it necessary to life?	What characteristic oxygen makes necessary life?	4	4
What chemist managed to make enough liquid oxygen to use for study?	What chemist managed make enough liquid oxygen use study?	4	4
What chloroplast lineage is Cyanophora in?	What chloroplast lineage Cyanophora in?	3	3
What colors was the 2001 ABC logo?	What colors was the 2001 logo?	3	3
What company was chosen to build an AC distribution system at Niagara Falls?	What company chosen build AC distribution system Niagara Falls?	4	4
What company took over Edison Machine Works?	What company took over	2	2
What company was chosen to build a two-phase AC generating system at Niagara Falls?	What company was chosen to build a two-phase AC generating system at	3	3
What other compensation did Tesla get from Westinghouse?	What compensation did Tesla get from Westinghouse?	5	5
What are the components of drug therapy?	What components drug therapy?	2	2
What health condition can deep sea diving cause?	What condition can deep sea diving cause?	5	5
What conditions must be met to prescribe a controlled substance?	What conditions must met prescribe controlled substance?	3	3
What modern-day country was Tesla born in?	What country was Tesla born in?	5	5
What cytokines are responsible for communication between white blood cells?	What cytokines are for communication between white blood cells?	4	4
What did his design avoid in not having a commutator?	What design avoid commutator?	3	3
What river did Genghis Khan cross before defeating the main Tangut army?	What did Genghis Khan cross before defeating the main Tangut army?	3	3
Who did Genghis Khan unite before he began conquering the rest of Eurasia?	What did Genghis Khan unite before he began conquering the rest of Eurasia?	5	5
What year did Tesla avade the draft?	What did Tesla avade the draft?	4	4
What religion did Tesla grow up in?	What did Tesla grow up in?	4	4
What did Tesla do with his patents causing him to lose them?	What did do with his patents causing him to lose them?	4	4
What did Temüjin promise his followers in exchange for their obedience?	What did promise his followers in exchange for their obedience?	3	3
When did the Herald Tribune publish its Tesla article?	What did the Herald Tribune publish its Tesla article?	3	3
What did the Salafi movement put emphasis on?	What did the Salafi movement put on?	3	3
What did the Amazon rainforest do during the Middle Miocene?	What did the rainforest do during the	1	1
What did John Dalton think that all elements were in number present in compounds?	What did think that all elements were in number present in compounds?	3	3
What did Dalton think the atomic ratios were between atoms in compounds?	What did think the atomic ratios were between atoms in compounds?	3	3
What direction do ctenophore swim?	What direction ctenophore swim?	3	3
What function do compounds like phenol and acetone serve in the manufacture of many other substances?	What do compounds like phenol and acetone serve in the manufacture of many other substances?	5	5
What do extremely unequal societies tend to be?	What do extremely societies to be?	2	2
What do tribes use Google Earth and GPS for?	What do use Google Earth and GPS for?	3	3
What do you have to cross to reach the chloroplast in many secondary plastids?	What do you have to cross to reach the chloroplast in secondary	3	3
What does a writer for the International Crisis Group think the concept of political Islam is a creation of?	What does a writer for the think the concept of political is a creation of?	2	2
What does the UN want to stabilize?	What does the UN want to	1	1
What does the current high level of population have a large impact on?	What does the current high of population have a large impact on?	4	4
What does the marginal value added by an economic actor determine?	What does the marginal value by an determine?	2	2
What doesn't change from being at rest to movement at a constant velocity?	What doesn't from being at to at a constant velocity?	1	1
What early Greek wrote about experiments on air and combustion?	What early Greek wrote experiments air combustion?	4	4
What element did Gay-Lussac and von Humboldt discover was present in twice the amount of oxygen in water?	What element did Gay-Lussac and von discover was present in twice the amount of oxygen in water?	5	5
What element makes up almost half of the earth's crust by mass?	What element makes almost half earth's crust mass?	5	5
What ended up being used for the streetcars in the place of Tesla's system?	What ended used streetcars place Tesla's system?	3	3
What entity is created if the three different institutions cannot come to a consensus at any stage?	What entity created three different institutions cannot come consensus stage?	2	2
What famous artist later further investigated Philo's experiments?	What famous artist later investigated Philo's experiments?	5	5
What tribe fell apart after Temüjin defeated Toghrul?	What fell apart after Temüjin defeated Toghrul?	5	5
What gas does the airline exothermic reaction produce?	What gas airline exothermic reaction produce?	4	4
What is happening to the average age of teachers in Wales?	What happening average age teachers Wales?	4	4
What country has a problem with classroom discipline, even though scores on tests are high?	What has a problem with classroom discipline, even though scores on tests are high?	3	3
What did he light at his laboratories to demonstrate his wireless power transmission?	What he light at his laboratories to demonstrate his wireless power transmission?	4	4
What was he hoping to stimulate with the toe squishing?	What hoping stimulate toe squishing?	4	4
What is important for a teacher to enjoy?	What important for a teacher to enjoy?	4	4
What South African industry descended from Huguenot settlers?	What industry descended from settlers?	3	3
What interpretation of Islam is, for many of the adherents, the "gold standard" of their religion?	What interpretation of Islam is, for many of the adherents, the "gold of their religion?	3	3
What is this invisible radiant energy now known as?	What invisible radiant energy known as?	4	4
What is Kenya a founding member of?	What is a founding member of?	1	1
What is a Cairns replication intermediate?	What is a replication intermediate?	2	2
What is an example of a pump component?	What is an of a	1	1
What river is located in the vicinity of the school?	What is located in the vicinity of the school?	4	4
What is lower in countries with more inequality for the top 21 industrialized countries?	What is lower in countries with more inequality for the top 21 industrialized	3	3
What is one condition that an element p of R must satisfy in order to be considered a prime element?	What is one condition that an element p of must satisfy in order to be considered a prime element?	4	4
What is the largest independent library outside of London?	What is the independent of London?	1	1
What is the longest river in Germany?	What is the longest in Germany?	2	2
What is the name of the mystical type of Islam?	What is the name of the mystical type of	3	3
What is the name of the largest university press in the U.S?	What is the of the university in the U.S?	1	1
What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?	What is the other NHL from the Anaheim Ducks to in Southern California?	2	2
What job did Tesla's father have in Gospic?	What job Tesla's father Gospic?	3	3
What kind of media can references to Tesla be found in	What kind media references Tesla found	3	3
What kind of company is Sky UK Limited?	What kind of company is	1	1
What landmark was Tesla asked about in regards to electricity in 1893?	What landmark Tesla asked regards electricity 1893?	3	3
What did lane and vail finance?	What lane vail finance?	4	4
What liberal succeeded Joseph Willard as president?	What liberal succeeded as president?	3	3
What makes static friction go up or down in responce to contact characteristics between an object and the surface it is on?	What makes static friction up or down in responce to contact characteristics between an object and the it is on?	3	3
What metal was used in Inalchuq's execution?	What metal was used in execution?	4	4
